file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.35336599257424917
tilty1	-0.10316558712258374
a4	-0.3842250734277009
a5	-0.036006450188784976
a6	0.19477296518560588
a7	-0.026498687482811978
a8	0.004917163353127493
a9	-0.2224832534254514
a10	0.06580264242143859
a11	-0.38984325626522365
a12	-0.1734743360057188
a13	0.09309136847647277
a14	0.011046878496796683
a15	0.030912444471795076
