file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.36699183552422515
tilty1	-0.09937651444401949
a4	0.19483517998153183
a5	-0.00841821017320677
a6	0.1350840444088668
a7	0.0054701062211566925
a8	-0.027716629867986148
a9	-0.26218192577750044
a10	-0.12690964479155944
a11	-0.5735168767462203
a12	-0.08836781076293723
a13	0.01939075362798223
a14	-0.05344748349996403
a15	0.0011960750135203424
