file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.4316496255091645
a5	-0.15404700041957017
a6	0.2306735629559474
a7	0.005159810905514373
a8	0.11672464559695352
a9	-0.09100337549254216
a10	0.09905322369447779
a11	-0.32470233077545824
a12	-0.21111978863947917
a13	0.05558780564588224
a14	-0.007409681297854895
a15	-0.0065066706276188085
a16	0.0901656679518955
a17	0.01643699912986056
a18	0.009238133457029797
a19	0.034425568891213044
a20	0.07707215508533555
a21	0.038829681087682366
