file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.3514650078108494
a5	0.03513470282668417
a6	0.235620004021386
a7	0.06614634253300689
a8	0.04279424047405692
a9	0.1932777110582665
a10	0.010141990872983838
a11	-0.36828614116041425
a12	-0.20334466064593457
a13	-0.016303332239620848
a14	-0.12071303459097207
a15	0.13844748859783235
a16	0.020786350010229687
a17	0.003576306295986059
a18	0.009951211704286055
a19	-0.07090586819185617
a20	-0.030894690556650305
a21	0.008449655774382987
