file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.5093430263456452
a5	0.020796001108221624
a6	0.19267940826652463
a7	0.08557814043601655
a8	0.1001879057406177
a9	0.24649170473022938
a10	0.039995714838050825
a11	-0.38379428898666623
a12	-0.16672148196147307
a13	-0.05065417411842799
a14	-0.11399967047691659
a15	0.15295679099639575
a16	0.06427732236315459
a17	0.03144578802875061
a18	0.027448726105767932
a19	-0.05846434540857481
a20	-0.03968392711708263
a21	0.002213251966349296
