file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.43564877767988097
a5	-0.1179593572242169
a6	0.322901940973975
a7	0.0888093666324994
a8	0.0930140972423565
a9	0.14679099442074323
a10	0.09125575317153325
a11	-0.34673503352147894
a12	-0.16094437780830284
a13	-0.012889972758341549
a14	-0.02685006144441584
a15	0.13341067466682702
a16	0.05875029811504906
a17	0.03567150061035114
a18	0.027550565783601814
a19	-0.02124140790474998
a20	0.031559391390712316
a21	-0.011675576295936026
