file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.33767234697234405
a5	-0.1341333632076292
a6	0.34457820183572635
a7	-0.011930352620020433
a8	0.06981701495278633
a9	-0.1410687338753803
a10	0.099608928614303
a11	-0.2966776373990895
a12	-0.17475460248012095
a13	0.05664751502215057
a14	-3.54189952531201e-05
a15	-0.024437480782764483
a16	0.05700864189080576
a17	-0.013270510662967942
a18	0.019452993879596273
a19	-0.003240807439677078
a20	0.09792658388155269
a21	0.006448289891915194
