file	flare_517nm
output	Flight/Flare
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.577852142642948
a5	0.07120288202882095
a6	-0.5029023590338619
a7	-0.04234617566351858
a8	0.08623241942286429
a9	0.3137596603707462
a10	0.21983301872903394
a11	0.09068943289491808
a12	0.20061847606464617
a13	-0.25099987131043616
a14	0.3127346297511341
a15	-0.05462885024630186
a16	-0.23251237703452365
a17	-0.17783567379563847
a18	0.05415927900330418
a19	-0.020487092047837885
a20	0.05610309019972787
a21	-0.1508569446184161
